metro,price,rooms,floor,floors,square,turned
0,5250155,1,2,4,28.65,0
0,5386500,2,2,12,39.9,0
0,5601640,1,1,5,33.8,0
0,5850111,1,1,4,33.67,0
0,6000000,1,9,9,32.4,0
0,6230000,1,2,5,37.04,0
0,6457920,1,1,4,34.59,0
0,6992460,2,1,6,56.3,0
0,7353816,1,1,8,31.44,0
1,7700000,1,9,14,29.3,1
0,8068572,1,2,12,32.4,0
1,8150157,1,3,12,30.68,0
0,8238573,1,22,27,39.24,0
1,8761800,1,5,24,42.95,0
0,8850336,2,2,4,47.85,0
1,8843766,1,12,12,34.1,0
0,8937580,2,1,4,63.93,0
0,9000147,1,1,12,34.64,0
0,9600047,2,1,4,49.66,0
0,9734010,2,1,7,45.38,0
0,9733056,2,2,4,51.6,0
1,9757559,1,3,7,32.15,0
0,9837517,2,1,5,56.39,0
1,10889999,1,8,14,33.91,0
1,11181240,1,2,9,34.8,0
1,11260137,2,4,12,53.4,0
1,11325600,1,3,10,39.6,0
1,12109433,1,5,19,43.6,1
1,12025200,1,2,11,45.55,0
1,12217194,2,5,7,46.17,0
0,12500012,2,3,12,53.85,0
1,13350061,2,3,12,51.5,0
1,13634993,1,5,11,44.3,1
1,13741650,1,1,9,37.7,1
1,14365920,1,6,9,41.52,0
0,14800109,2,2,10,56.95,0
1,14822999,2,9,14,55.07,0
1,15250351,2,1,13,62.2,1
1,15356480,2,2,10,59.2,0
0,15300000,2,15,20,64.0,0
0,15600002,2,5,10,54.7,0
1,17089128,2,5,17,65.6,1
1,17425727,2,8,11,59.4,1
1,19000000,2,4,9,60.0,0
0,22521282,1,6,7,65.36,0
1,23696640,1,2,7,81.6,0
1,27605280,2,6,9,63.68,0
1,34760880,2,2,7,119.7,0
0,5609458,1,1,16,36.6,1
0,6004622,1,20,24,30.3,1
0,6097909,2,1,16,36.9,1
0,6487950,1,20,26,39.68,0
0,6776320,1,1,5,38.17,0
1,7291513,1,3,23,40.5,1
0,7504000,1,10,13,36.24,1
1,7807500,1,7,12,34.7,1
0,8108123,1,5,16,32.2,0
0,8154900,1,1,16,44.2,1
1,8640500,1,4,7,31.42,0
1,8963000,1,5,25,41.84,0
0,9447921,1,7,12,34.8,0
0,9742914,1,19,20,32.2,1
0,9762650,2,6,11,46.37,0
0,9908110,2,4,26,68.06,0
1,9959200,1,11,12,42.2,1
